dept,wk_date,total_sales,avg_temp,day_of_week
72.0,2011-12-16,2967649.5699999994,40.141190476190474,Friday
2.0,2011-12-23,2846582.63,39.611777777777775,Friday
91.0,2011-12-23,1556471.5399999998,39.611777777777775,Friday
90.0,2011-12-23,2747982.75,39.611777777777775,Friday
38.0,2011-12-23,2698126.1999999997,39.611777777777775,Friday
95.0,2011-12-23,3322448.6800000006,39.611777777777775,Friday
40.0,2011-12-23,2204243.1,39.611777777777775,Friday
92.0,2011-12-23,4647997.52,39.611777777777775,Friday
72.0,2011-12-23,5028104.79,38.699285714285715,Friday
8.0,2011-12-23,1733834.97,39.611777777777775,Friday
13.0,2011-12-23,1332252.77,39.611777777777775,Friday
40.0,2011-12-30,1881964.7200000002,37.92622222222222,Friday
72.0,2011-12-30,2665205.18,37.36790697674419,Friday
92.0,2011-12-30,2914599.55,37.92622222222222,Friday
2.0,2011-12-30,1797200.9100000001,37.92622222222222,Friday
91.0,2011-12-30,1161792.29,37.92622222222222,Friday
90.0,2011-12-30,1916945.6600000001,37.92622222222222,Friday
95.0,2011-12-30,2485110.93,37.92622222222222,Friday
8.0,2011-12-30,1244924.6300000001,37.92622222222222,Friday
38.0,2011-12-30,2514156.5,37.92622222222222,Friday
13.0,2011-12-30,1178176.3299999998,37.92622222222222,Friday
92.0,2012-01-06,3862416.79,41.13333333333334,Friday
91.0,2012-01-06,1682066.92,41.13333333333334,Friday
40.0,2012-01-06,2241109.21,41.13333333333334,Friday
8.0,2012-01-06,1326346.71,41.13333333333334,Friday
95.0,2012-01-06,3059249.38,41.13333333333334,Friday
72.0,2012-01-06,1767184.08,39.834523809523816,Friday
38.0,2012-01-06,3110692.21,41.13333333333334,Friday
2.0,2012-01-06,1936413.71,41.13333333333334,Friday
90.0,2012-01-06,2274279.8600000003,41.13333333333334,Friday
13.0,2012-01-06,1437179.04,41.13333333333334,Friday
92.0,2012-01-13,3746489.0700000003,39.69022222222222,Friday
95.0,2012-01-13,2926984.66,39.69022222222222,Friday
2.0,2012-01-13,1852848.92,39.69022222222222,Friday
90.0,2012-01-13,2191304.49,39.69022222222222,Friday
91.0,2012-01-13,1642329.01,39.69022222222222,Friday
40.0,2012-01-13,2124902.57,39.69022222222222,Friday
8.0,2012-01-13,1289438.38,39.69022222222222,Friday
72.0,2012-01-13,1672350.9,38.67071428571428,Friday
38.0,2012-01-13,3048915.22,39.69022222222222,Friday
13.0,2012-01-13,1317409.43,39.69022222222222,Friday
40.0,2012-01-20,2116767.62,39.74177777777778,Friday
91.0,2012-01-20,1590982.85,39.74177777777778,Friday
72.0,2012-01-20,1805209.45,38.54714285714286,Friday
92.0,2012-01-20,3613365.95,39.74177777777778,Friday
95.0,2012-01-20,2958740.81,39.74177777777778,Friday
13.0,2012-01-20,1318835.63,39.74177777777778,Friday
8.0,2012-01-20,1320067.53,39.74177777777778,Friday
90.0,2012-01-20,2179965.35,39.74177777777778,Friday
38.0,2012-01-20,2835067.8499999996,39.74177777777778,Friday
2.0,2012-01-20,1867059.8900000001,39.74177777777778,Friday
40.0,2012-01-27,2001857.2,42.726,Friday
8.0,2012-01-27,1251658.2,42.726,Friday
38.0,2012-01-27,2887702.33,42.726,Friday
2.0,2012-01-27,1730179.8499999999,42.726,Friday
72.0,2012-01-27,1789460.6600000001,41.667142857142856,Friday
95.0,2012-01-27,2773665.3,42.726,Friday
13.0,2012-01-27,1210821.03,42.726,Friday
91.0,2012-01-27,1446032.93,42.726,Friday
92.0,2012-01-27,3313512.4,42.726,Friday
90.0,2012-01-27,2037988.17,42.726,Friday
90.0,2012-02-03,2229493.39,44.80444444444444,Friday
72.0,2012-02-03,2548988.12,43.77357142857143,Friday
40.0,2012-02-03,2192252.31,44.80444444444444,Friday
8.0,2012-02-03,1417157.72,44.80444444444444,Friday
95.0,2012-02-03,3066161.29,44.80444444444444,Friday
2.0,2012-02-03,1995274.05,44.80444444444444,Friday
38.0,2012-02-03,3121192.96,44.80444444444444,Friday
92.0,2012-02-03,3746408.7199999997,44.80444444444444,Friday
13.0,2012-02-03,1381251.29,44.80444444444444,Friday
91.0,2012-02-03,1660745.6800000002,44.80444444444444,Friday
8.0,2012-02-10,1403521.21,39.848,Friday
95.0,2012-02-10,3161814.7199999997,39.848,Friday
91.0,2012-02-10,1752918.02,39.848,Friday
72.0,2012-02-10,3234457.9000000004,39.040232558139536,Friday
2.0,2012-02-10,2037945.8599999999,39.848,Friday
13.0,2012-02-10,1391368.42,39.848,Friday
38.0,2012-02-10,2972930.7699999996,39.848,Friday
92.0,2012-02-10,3910737.18,39.848,Friday
90.0,2012-02-10,2261271.45,39.848,Friday
8.0,2012-02-17,1364216.22,40.20333333333333,Friday
91.0,2012-02-17,1583235.17,40.20333333333333,Friday
2.0,2012-02-17,1976676.22,40.20333333333333,Friday
72.0,2012-02-17,2748184.19,39.11547619047619,Friday
40.0,2012-02-17,2136071.0,40.20333333333333,Friday
92.0,2012-02-17,3627632.6900000004,40.20333333333333,Friday
90.0,2012-02-17,2139259.17,40.20333333333333,Friday
95.0,2012-02-17,2954428.4499999997,40.20333333333333,Friday
13.0,2012-02-17,1323643.8399999999,40.20333333333333,Friday
38.0,2012-02-17,2974062.8200000003,40.20333333333333,Friday
92.0,2012-02-24,3476677.52,45.123999999999995,Friday
72.0,2012-02-24,2430785.41,44.394418604651165,Friday
91.0,2012-02-24,1524141.5600000003,45.123999999999995,Friday
2.0,2012-02-24,2046897.0300000003,45.123999999999995,Friday
40.0,2012-02-24,2173879.81,45.123999999999995,Friday
95.0,2012-02-24,2963563.8200000003,45.123999999999995,Friday
8.0,2012-02-24,1393394.11,45.123999999999995,Friday
38.0,2012-02-24,2787724.43,45.123999999999995,Friday
13.0,2012-02-24,1399372.0,45.123999999999995,Friday
90.0,2012-02-24,2104007.96,45.123999999999995,Friday
92.0,2012-03-02,3603681.2699999996,45.486444444444444,Friday
40.0,2012-03-02,2227096.1900000004,45.486444444444444,Friday
91.0,2012-03-02,1575192.03,45.486444444444444,Friday
8.0,2012-03-02,1419253.8599999999,45.486444444444444,Friday
2.0,2012-03-02,2057833.0899999999,45.486444444444444,Friday
72.0,2012-03-02,2309221.67,44.37666666666667,Friday
38.0,2012-03-02,3128520.25,45.486444444444444,Friday
95.0,2012-03-02,3032242.4699999997,45.486444444444444,Friday
13.0,2012-03-02,1439392.0,45.486444444444444,Friday
90.0,2012-03-02,2139224.42,45.486444444444444,Friday
8.0,2012-03-09,1405097.5299999998,47.550888888888885,Friday
92.0,2012-03-09,3841342.2500000005,47.550888888888885,Friday
95.0,2012-03-09,3225771.0599999996,47.550888888888885,Friday
2.0,2012-03-09,2040874.9900000002,47.550888888888885,Friday
38.0,2012-03-09,2983339.9099999997,47.550888888888885,Friday
90.0,2012-03-09,2210386.5199999996,47.550888888888885,Friday
91.0,2012-03-09,1702872.4799999997,47.550888888888885,Friday
13.0,2012-03-09,1407645.7699999998,47.550888888888885,Friday
72.0,2012-03-09,2080139.1700000002,46.84651162790697,Friday
92.0,2012-03-16,3562833.73,54.742222222222225,Friday
8.0,2012-03-16,1355110.9700000002,54.742222222222225,Friday
2.0,2012-03-16,1974819.02,54.742222222222225,Friday
13.0,2012-03-16,1375568.4300000002,54.742222222222225,Friday
40.0,2012-03-16,2140228.84,54.742222222222225,Friday
72.0,2012-03-16,2059628.9300000002,54.3093023255814,Friday
90.0,2012-03-16,2132665.96,54.742222222222225,Friday
91.0,2012-03-16,1582847.83,54.742222222222225,Friday
95.0,2012-03-16,3168037.25,54.742222222222225,Friday
38.0,2012-03-16,2880025.9600000004,54.742222222222225,Friday
92.0,2012-03-23,3246339.72,57.14022222222222,Friday
8.0,2012-03-23,1334346.8800000001,57.14022222222222,Friday
2.0,2012-03-23,1910885.6300000001,57.14022222222222,Friday
13.0,2012-03-23,1345261.6800000002,57.14022222222222,Friday
90.0,2012-03-23,1984775.4800000002,57.14022222222222,Friday
72.0,2012-03-23,1710130.94,56.7746511627907,Friday
91.0,2012-03-23,1435878.79,57.14022222222222,Friday
38.0,2012-03-23,2900676.86,57.14022222222222,Friday
95.0,2012-03-23,2984946.7600000002,57.14022222222222,Friday
40.0,2012-03-23,2075683.81,57.14022222222222,Friday
2.0,2012-03-30,1920718.83,57.52844444444444,Friday
13.0,2012-03-30,1344799.71,57.52844444444444,Friday
92.0,2012-03-30,3198482.22,57.52844444444444,Friday
8.0,2012-03-30,1353982.5799999998,57.52844444444444,Friday
40.0,2012-03-30,2077302.8900000001,57.52844444444444,Friday
95.0,2012-03-30,3036695.2399999998,57.52844444444444,Friday
90.0,2012-03-30,1977207.2700000003,57.52844444444444,Friday
38.0,2012-03-30,2944016.09,57.52844444444444,Friday
72.0,2012-03-30,1615556.5199999998,56.64380952380952,Friday
91.0,2012-03-30,1439058.0999999999,57.52844444444444,Friday
13.0,2012-04-06,1445925.47,57.00222222222223,Friday
92.0,2012-04-06,3961282.39,57.00222222222223,Friday
8.0,2012-04-06,1471928.7100000002,57.00222222222223,Friday
95.0,2012-04-06,3407441.81,57.00222222222223,Friday
2.0,2012-04-06,2097789.3499999996,57.00222222222223,Friday
90.0,2012-04-06,2354364.07,57.00222222222223,Friday
38.0,2012-04-06,3081965.2700000005,57.00222222222223,Friday
72.0,2012-04-06,1815304.8800000001,56.05738095238096,Friday
40.0,2012-04-06,2171153.2500000005,57.00222222222223,Friday
13.0,2012-04-13,1287435.07,58.30066666666666,Friday
92.0,2012-04-13,3418386.5500000003,58.30066666666666,Friday
90.0,2012-04-13,2055286.54,58.30066666666666,Friday
2.0,2012-04-13,1878746.16,58.30066666666666,Friday
40.0,2012-04-13,2008446.41,58.30066666666666,Friday
38.0,2012-04-13,2898806.6999999997,58.30066666666666,Friday
91.0,2012-04-13,1506578.8599999999,58.30066666666666,Friday
72.0,2012-04-13,1705745.33,57.67627906976744,Friday
2.0,2012-04-20,1966964.1400000001,61.355555555555554,Friday
38.0,2012-04-20,2878236.3000000003,61.355555555555554,Friday
13.0,2012-04-20,1366994.6099999999,61.355555555555554,Friday
90.0,2012-04-20,2000077.64,61.355555555555554,Friday
92.0,2012-04-20,3376507.94,61.355555555555554,Friday
95.0,2012-04-20,3123172.3600000003,61.355555555555554,Friday
72.0,2012-04-20,1661950.02,60.93744186046513,Friday
8.0,2012-04-20,1362547.5699999998,61.355555555555554,Friday
40.0,2012-04-20,2111299.35,61.355555555555554,Friday
91.0,2012-04-20,1502634.2399999998,61.355555555555554,Friday
92.0,2012-04-27,3198465.0100000002,62.776222222222216,Friday
13.0,2012-04-27,1311185.08,62.776222222222216,Friday
38.0,2012-04-27,2855480.1300000004,62.776222222222216,Friday
90.0,2012-04-27,1955272.8499999999,62.776222222222216,Friday
2.0,2012-04-27,1884426.1999999997,62.776222222222216,Friday
8.0,2012-04-27,1334521.07,62.776222222222216,Friday
40.0,2012-04-27,2018965.0000000002,62.776222222222216,Friday
95.0,2012-04-27,3086089.08,62.776222222222216,Friday
72.0,2012-04-27,1572553.36,61.901162790697676,Friday
91.0,2012-04-27,1449483.19,62.776222222222216,Friday
13.0,2012-05-04,1404842.36,64.676,Friday
92.0,2012-05-04,3562210.83,64.676,Friday
38.0,2012-05-04,3103771.1399999997,64.676,Friday
2.0,2012-05-04,2005742.5399999998,64.676,Friday
40.0,2012-05-04,2115023.68,64.676,Friday
72.0,2012-05-04,1692860.49,63.661904761904765,Friday
90.0,2012-05-04,2087873.62,64.676,Friday
95.0,2012-05-04,3316988.1900000004,64.676,Friday
8.0,2012-05-04,1425862.06,64.676,Friday
91.0,2012-05-04,1609783.33,64.676,Friday
13.0,2012-05-11,1313009.64,64.838,Friday
40.0,2012-05-11,2002033.96,64.838,Friday
90.0,2012-05-11,2071036.4099999997,64.838,Friday
92.0,2012-05-11,3580365.37,64.838,Friday
91.0,2012-05-11,1614164.7800000003,64.838,Friday
2.0,2012-05-11,1898293.79,64.838,Friday
38.0,2012-05-11,2868055.24,64.838,Friday
8.0,2012-05-11,1345827.76,64.838,Friday
72.0,2012-05-11,1676422.4600000002,64.47022727272726,Friday
95.0,2012-05-11,3277276.4600000004,64.838,Friday
13.0,2012-05-18,1296484.5100000002,67.63822222222223,Friday
90.0,2012-05-18,1982509.0,67.63822222222223,Friday
92.0,2012-05-18,3329510.9699999997,67.63822222222223,Friday
91.0,2012-05-18,1495863.5499999998,67.63822222222223,Friday
38.0,2012-05-18,2813973.21,67.63822222222223,Friday
72.0,2012-05-18,1639642.4,66.98162790697674,Friday
2.0,2012-05-18,1911921.1400000001,67.63822222222223,Friday
95.0,2012-05-18,3214710.8600000003,67.63822222222223,Friday
91.0,2012-05-25,1448207.47,71.79555555555555,Friday
90.0,2012-05-25,1989612.8399999999,71.79555555555555,Friday
38.0,2012-05-25,2756526.69,71.79555555555555,Friday
13.0,2012-05-25,1365928.1099999999,71.79555555555555,Friday
8.0,2012-05-25,1381108.6099999999,71.79555555555555,Friday
40.0,2012-05-25,2048622.9699999997,71.79555555555555,Friday
95.0,2012-05-25,3401920.3600000003,71.79555555555555,Friday
2.0,2012-05-25,2005529.9500000002,71.79555555555555,Friday
38.0,2012-06-01,2643747.53,72.94377777777778,Friday
90.0,2012-06-01,1966080.9800000002,72.94377777777778,Friday
8.0,2012-06-01,1365628.94,72.94377777777778,Friday
72.0,2012-06-01,1586113.1400000001,72.51534883720932,Friday
92.0,2012-06-01,3252011.6,72.94377777777778,Friday
13.0,2012-06-01,1379750.2800000003,72.94377777777778,Friday
40.0,2012-06-01,1977983.1300000001,72.94377777777778,Friday
2.0,2012-06-01,1981080.91,72.94377777777778,Friday
90.0,2012-06-08,2132808.86,71.99133333333333,Friday
8.0,2012-06-08,1420830.13,71.99133333333333,Friday
72.0,2012-06-08,1696784.95,71.2046511627907,Friday
38.0,2012-06-08,2859534.6500000004,71.99133333333333,Friday
2.0,2012-06-08,2090713.58,71.99133333333333,Friday
40.0,2012-06-08,2099825.16,71.99133333333333,Friday
13.0,2012-06-08,1439081.74,71.99133333333333,Friday
91.0,2012-06-08,1714955.3199999998,71.99133333333333,Friday
95.0,2012-06-08,3511273.29,71.99133333333333,Friday
8.0,2012-06-15,1364355.26,75.04644444444443,Friday
92.0,2012-06-15,3508427.03,75.04644444444443,Friday
38.0,2012-06-15,2636544.84,75.04644444444443,Friday
90.0,2012-06-15,2052788.1099999999,75.04644444444443,Friday
40.0,2012-06-15,2020702.47,75.04644444444443,Friday
2.0,2012-06-15,2012809.6700000002,75.04644444444443,Friday
72.0,2012-06-15,1757046.5699999998,74.14095238095237,Friday
91.0,2012-06-15,1598652.6199999999,75.04644444444443,Friday
95.0,2012-06-15,3473471.5700000003,75.04644444444443,Friday
8.0,2012-06-22,1327482.5699999998,77.76911111111112,Friday
38.0,2012-06-22,2606796.21,77.76911111111112,Friday
90.0,2012-06-22,1947787.17,77.76911111111112,Friday
92.0,2012-06-22,3219124.83,77.76911111111112,Friday
13.0,2012-06-22,1320373.1999999997,77.76911111111112,Friday
72.0,2012-06-22,1706866.42,76.98904761904762,Friday
91.0,2012-06-22,1458372.75,77.76911111111112,Friday
40.0,2012-06-22,1970137.7100000002,77.76911111111112,Friday
13.0,2012-06-29,1360284.1500000001,80.3531111111111,Friday
8.0,2012-06-29,1366030.99,80.3531111111111,Friday
92.0,2012-06-29,3209825.96,80.3531111111111,Friday
38.0,2012-06-29,2688622.24,80.3531111111111,Friday
2.0,2012-06-29,2030133.87,80.3531111111111,Friday
95.0,2012-06-29,3430442.53,80.3531111111111,Friday
40.0,2012-06-29,2003223.0000000002,80.3531111111111,Friday
90.0,2012-06-29,1937763.79,80.3531111111111,Friday
91.0,2012-06-29,1424157.8900000001,80.3531111111111,Friday
72.0,2012-06-29,1582537.38,79.51666666666667,Friday
8.0,2012-07-06,1417069.7100000002,80.05466666666666,Friday
2.0,2012-07-06,2116216.63,80.05466666666666,Friday
13.0,2012-07-06,1453193.2000000002,80.05466666666666,Friday
90.0,2012-07-06,2146743.58,80.05466666666666,Friday
92.0,2012-07-06,3718174.83,80.05466666666666,Friday
72.0,2012-07-06,1729025.88,79.59023255813953,Friday
95.0,2012-07-06,3816877.21,80.05466666666666,Friday
38.0,2012-07-06,2738080.3800000004,80.05466666666666,Friday
91.0,2012-07-06,1636697.4,80.05466666666666,Friday
40.0,2012-07-06,2048923.57,80.05466666666666,Friday
8.0,2012-07-13,1339914.4400000002,78.93866666666668,Friday
40.0,2012-07-13,1972018.73,78.93866666666668,Friday
95.0,2012-07-13,3369422.07,78.93866666666668,Friday
13.0,2012-07-13,1356708.85,78.93866666666668,Friday
38.0,2012-07-13,2795184.47,78.93866666666668,Friday
72.0,2012-07-13,1585119.2599999998,78.25452380952382,Friday
90.0,2012-07-13,2021624.01,78.93866666666668,Friday
91.0,2012-07-13,1583481.92,78.93866666666668,Friday
2.0,2012-07-13,2002513.34,78.93866666666668,Friday
8.0,2012-07-20,1344286.9,78.77644444444444,Friday
92.0,2012-07-20,3355136.34,78.77644444444444,Friday
2.0,2012-07-20,2023071.13,78.77644444444444,Friday
38.0,2012-07-20,2728844.38,78.77644444444444,Friday
40.0,2012-07-20,1993286.9000000001,78.77644444444444,Friday
90.0,2012-07-20,1990484.1599999997,78.77644444444444,Friday
72.0,2012-07-20,1618193.52,78.26761904761904,Friday
13.0,2012-07-20,1375985.3699999999,78.77644444444444,Friday
92.0,2012-07-27,3180575.83,79.84422222222221,Friday
95.0,2012-07-27,3205849.61,79.84422222222221,Friday
13.0,2012-07-27,1331878.6400000001,79.84422222222221,Friday
38.0,2012-07-27,2645343.56,79.84422222222221,Friday
72.0,2012-07-27,1616887.75,79.31095238095239,Friday
90.0,2012-07-27,1920995.89,79.84422222222221,Friday
2.0,2012-07-27,1956474.29,79.84422222222221,Friday
90.0,2012-08-03,2079494.02,80.33644444444442,Friday
92.0,2012-08-03,3549275.12,80.33644444444442,Friday
95.0,2012-08-03,3411164.17,80.33644444444442,Friday
13.0,2012-08-03,1469757.42,80.33644444444442,Friday
72.0,2012-08-03,1765062.96,79.82595238095237,Friday
38.0,2012-08-03,2805902.25,80.33644444444442,Friday
2.0,2012-08-03,2095041.31,80.33644444444442,Friday
91.0,2012-08-03,1562167.69,80.33644444444442,Friday
40.0,2012-08-03,2071343.14,80.33644444444442,Friday
8.0,2012-08-03,1429988.42,80.33644444444442,Friday
92.0,2012-08-10,3640675.55,81.58022222222222,Friday
95.0,2012-08-10,3476366.05,81.58022222222222,Friday
38.0,2012-08-10,2673662.6,81.58022222222222,Friday
90.0,2012-08-10,2084453.8199999998,81.58022222222222,Friday
13.0,2012-08-10,1445633.7000000002,81.58022222222222,Friday
91.0,2012-08-10,1618352.3199999998,81.58022222222222,Friday
40.0,2012-08-10,2030745.36,81.58022222222222,Friday
8.0,2012-08-10,1355065.25,81.58022222222222,Friday
2.0,2012-08-10,2068667.0999999999,81.58022222222222,Friday
72.0,2012-08-10,1721078.67,80.85357142857143,Friday
90.0,2012-08-17,2070743.53,79.43222222222222,Friday
92.0,2012-08-17,3514723.07,79.43222222222222,Friday
13.0,2012-08-17,1485107.29,79.43222222222222,Friday
40.0,2012-08-17,2069145.26,79.43222222222222,Friday
2.0,2012-08-17,2113176.6,79.43222222222222,Friday
8.0,2012-08-17,1340867.28,79.43222222222222,Friday
72.0,2012-08-17,1834522.77,78.64142857142856,Friday
95.0,2012-08-24,3222483.3299999996,74.59288888888888,Friday
38.0,2012-08-24,2616047.3099999996,74.59288888888888,Friday
90.0,2012-08-24,2004187.8199999998,74.59288888888888,Friday
13.0,2012-08-24,1495252.1600000001,74.59288888888888,Friday
8.0,2012-08-24,1337941.17,74.59288888888888,Friday
40.0,2012-08-24,2056524.22,74.59288888888888,Friday
91.0,2012-08-24,1445674.01,74.59288888888888,Friday
92.0,2012-08-24,3374945.23,74.59288888888888,Friday
2.0,2012-08-24,2130178.25,74.59288888888888,Friday
91.0,2012-08-31,1415292.58,77.79355555555557,Friday
38.0,2012-08-31,2728983.62,77.79355555555557,Friday
90.0,2012-08-31,2025645.2200000002,77.79355555555557,Friday
13.0,2012-08-31,1477203.88,77.79355555555557,Friday
8.0,2012-08-31,1379184.0899999999,77.79355555555557,Friday
72.0,2012-08-31,1811727.57,77.00952380952383,Friday
2.0,2012-08-31,2086129.2100000002,77.79355555555557,Friday
38.0,2012-09-07,2624917.0700000003,78.03866666666666,Friday
13.0,2012-09-07,1549379.81,78.03866666666666,Friday
95.0,2012-09-07,3504054.5999999996,78.03866666666666,Friday
40.0,2012-09-07,2148970.89,78.03866666666666,Friday
92.0,2012-09-07,3888167.0199999996,78.03866666666666,Friday
8.0,2012-09-07,1395911.22,78.03866666666666,Friday
90.0,2012-09-07,2245065.54,78.03866666666666,Friday
72.0,2012-09-07,1876003.4,77.4395238095238,Friday
2.0,2012-09-07,2076768.16,78.03866666666666,Friday
92.0,2012-09-14,3558737.24,70.23822222222222,Friday
8.0,2012-09-14,1357089.21,70.23822222222222,Friday
72.0,2012-09-14,1799019.17,69.54023809523808,Friday
40.0,2012-09-14,2056519.27,70.23822222222222,Friday
38.0,2012-09-14,2751215.46,70.23822222222222,Friday
90.0,2012-09-14,2078970.3200000003,70.23822222222222,Friday
2.0,2012-09-14,1896324.58,70.23822222222222,Friday
13.0,2012-09-14,1394992.51,70.23822222222222,Friday
